iter	Passed	Remaining
757	22863	7299
758	22895	7269
759	22924	7239
760	22955	7209
761	22986	7179
762	23028	7153
763	23061	7123
764	23107	7098
765	23142	7069
766	23207	7050
767	23250	7023
768	23280	6993
769	23310	6962
770	23340	6932
771	23381	6905
772	23410	6874
773	23437	6843
774	23464	6812
775	23491	6781
776	23519	6750
777	23548	6719
778	23576	6688
779	23602	6657
780	23630	6626
781	23657	6594
782	23683	6563
783	23710	6532
784	23737	6501
785	23764	6470
786	23792	6439
787	23820	6408
788	23847	6377
789	23877	6347
790	23904	6316
791	23931	6285
792	23958	6253
793	23985	6223
794	24012	6191
795	24039	6160
796	24066	6129
797	24093	6098
798	24120	6067
799	24161	6040
800	24188	6009
801	24216	5978
802	24243	5947
803	24270	5916
804	24297	5885
805	24324	5854
806	24351	5823
807	24378	5792
808	24405	5762
809	24431	5730
810	24457	5699
811	24485	5669
812	24512	5638
813	24539	5607
814	24568	5576
815	24596	5546
816	24622	5515
817	24648	5484
818	24674	5453
819	24700	5422
820	24727	5391
821	24754	5360
822	24781	5329
823	24809	5299
824	24836	5268
825	24862	5237
826	24889	5206
827	24917	5176
828	24943	5145
829	24971	5114
830	24998	5083
831	25025	5053
832	25053	5022
833	25080	4992
834	25108	4961
835	25136	4931
836	25163	4900
837	25189	4869
838	25215	4838
839	25242	4808
840	25270	4777
841	25297	4747
842	25325	4716
843	25371	4689
844	25413	4661
845	25441	4631
846	25473	4601
847	25504	4571
848	25538	4542
849	25572	4512
850	25603	4482
851	25634	4452
852	25664	4422
853	25692	4392
854	25721	4362
855	25751	4332
856	25783	4302
857	25813	4272
858	25854	4243
859	25883	4213
860	25916	4183
861	25945	4153
862	25975	4123
863	26005	4093
864	26037	4063
865	26068	4033
866	26099	4003
867	26129	3973
868	26159	3943
869	26188	3913
870	26218	3883
871	26248	3852
872	26277	3822
873	26309	3792
874	26336	3762
875	26364	3732
876	26395	3701
877	26445	3674
878	26480	3645
879	26531	3617
880	26584	3590
881	26618	3561
882	26661	3532
883	26707	3504
884	26755	3476
885	26800	3448
886	26839	3419
887	26866	3388
888	26894	3357
889	26921	3327
890	26949	3296
891	26978	3266
892	27005	3235
893	27036	3205
894	27068	3175
895	27101	3145
896	27135	3115
897	27168	3085
898	27201	3055
899	27229	3025
900	27259	2995
901	27286	2964
902	27313	2934
903	27339	2903
904	27367	2872
905	27395	2842
906	27421	2811
907	27448	2781
908	27474	2750
909	27502	2719
910	27529	2689
911	27556	2658
912	27583	2628
913	27610	2597
914	27637	2567
915	27664	2536
916	27691	2506
917	27720	2476
918	27747	2445
919	27774	2415
920	27801	2384
921	27828	2354
922	27855	2323
923	27884	2293
924	27910	2263
925	27937	2232
926	27964	2202
927	27991	2171
928	28018	2141
929	28044	2110
930	28071	2080
931	28098	2050
932	28125	2019
933	28153	1989
934	28182	1959
935	28209	1928
936	28236	1898
937	28263	1868
938	28291	1837
939	28318	1807
940	28345	1777
941	28371	1746
942	28399	1716
943	28426	1686
944	28452	1655
945	28479	1625
946	28504	1595
947	28531	1565
948	28559	1534
949	28604	1505
950	28634	1475
951	28666	1445
952	28700	1415
953	28734	1385
954	28764	1355
955	28808	1325
956	28838	1295
957	28865	1265
958	28892	1235
959	28919	1204
960	28948	1174
961	28975	1144
962	29020	1115
963	29053	1084
964	29085	1054
965	29119	1024
966	29152	994
967	29199	965
968	29244	935
969	29276	905
970	29307	875
971	29367	845
972	29424	816
973	29471	786
974	29509	756
975	29538	726
976	29566	696
977	29593	665
978	29621	635
979	29648	605
980	29686	574
981	29715	544
982	29743	514
983	29776	484
984	29807	453
985	29836	423
986	29867	393
987	29910	363
988	29943	333
989	29986	302
990	30028	272
991	30072	242
992	30128	212
993	30165	182
994	30213	151
995	30244	121
996	30289	91
997	30321	60
998	30352	30
999	30382	0
