iter	Logloss
382	0.6149430815
383	0.6148636124
384	0.6147611379
385	0.6147071087
386	0.6145633729
387	0.6144982512
388	0.6144386136
389	0.6143418119
390	0.6143061122
391	0.6142648246
392	0.6141999222
393	0.6140869423
394	0.6140508054
395	0.6139889979
396	0.613852862
397	0.6137446056
398	0.6137353107
399	0.6136530298
400	0.6136157435
401	0.6135610326
402	0.6135183218
403	0.6134529629
404	0.613402189
405	0.6132575179
406	0.6131665336
407	0.6131393208
408	0.6130624034
409	0.6130149021
410	0.6128832433
411	0.6128056084
412	0.612732308
413	0.6126385401
414	0.612577087
415	0.6125495366
416	0.6125006034
417	0.6124314914
418	0.6124056636
419	0.6123667141
420	0.612262208
421	0.6122286897
422	0.6121299531
423	0.6121075998
424	0.6120549888
425	0.6119759152
426	0.6118982273
427	0.6117816883
428	0.611673898
429	0.6116349761
430	0.6115060932
431	0.6114008965
432	0.6113793026
433	0.6113537625
434	0.6113429054
435	0.6111710089
436	0.6111220941
437	0.6109884979
438	0.6109419371
439	0.6108948012
440	0.610788241
441	0.6107064269
442	0.6106434125
443	0.6105344425
444	0.6104624111
445	0.610354622
446	0.6102783806
447	0.6102264881
448	0.6102121638
449	0.6100923639
450	0.6100302585
451	0.6099651893
452	0.6098382763
453	0.6097917962
454	0.6097069218
455	0.6096560801
456	0.6096118636
457	0.6095355956
458	0.6095052003
459	0.6094214539
460	0.6093278166
461	0.6091521677
462	0.6090722925
463	0.609009854
464	0.60897187
465	0.6089223307
466	0.6088579358
467	0.6087485753
468	0.6087106456
469	0.6086188549
470	0.6085486541
471	0.6085233714
472	0.6084351633
473	0.6084012174
474	0.6083316991
475	0.6082986506
476	0.6082301626
477	0.6081748428
478	0.6081065218
479	0.608089435
480	0.6080573715
481	0.6080001237
482	0.6079339087
483	0.6078614186
484	0.607795567
485	0.6076743261
486	0.6075813926
487	0.6075341928
488	0.6074989329
489	0.6073524028
490	0.6072728591
491	0.6072434582
492	0.6071057361
493	0.6070757822
494	0.607017185
495	0.6068810411
496	0.6068346336
497	0.6067558858
498	0.6067166546
499	0.6066294906
500	0.6065411138
501	0.6065095778
502	0.6064518003
503	0.606357724
504	0.6062900323
505	0.6062513532
506	0.6062154321
507	0.6061422758
508	0.6061179977
509	0.6060517143
510	0.6059797506
511	0.6059235245
512	0.6058277138
513	0.6057343751
514	0.6056675809
515	0.6056172838
516	0.6055964388
517	0.6055655826
518	0.605474413
519	0.6053994897
520	0.605310414
521	0.6052345098
522	0.6051704639
523	0.6050964089
524	0.6050587914
525	0.6050460902
526	0.6050174536
527	0.6049167643
528	0.6048557187
529	0.6047637058
530	0.6047262679
531	0.6046136207
532	0.6045602449
533	0.6045450796
534	0.6044997877
535	0.6044524145
536	0.6043538614
537	0.6042193638
538	0.6041362212
539	0.6041038802
540	0.6040706255
541	0.6039632997
542	0.6039126405
543	0.603867447
544	0.6038075136
545	0.6037770872
546	0.6037516457
547	0.6037100066
548	0.6036495168
549	0.6035444462
550	0.6035234644
551	0.6035068575
552	0.6034612739
553	0.6034320919
554	0.6033082992
555	0.6032355778
556	0.6032140439
557	0.6031098487
558	0.6030614026
559	0.6029908333
560	0.6029004421
561	0.602837067
562	0.6028108011
563	0.6027867749
564	0.602701175
565	0.6026336547
566	0.6025401017
567	0.6024315783
568	0.6023646529
569	0.6022991498
570	0.6022290655
571	0.6021014719
572	0.6020315663
573	0.6019998978
574	0.6019618866
575	0.601886918
576	0.6017887344
577	0.6017491077
578	0.6016765592
579	0.6016462234
580	0.6016033952
581	0.6015399335
582	0.6014917501
583	0.6014515628
584	0.601428729
585	0.6013807216
586	0.6013004798
587	0.6012631916
588	0.6011900903
589	0.601149845
590	0.6011090844
591	0.6010065756
592	0.6009715452
593	0.6009475346
594	0.6009105258
595	0.6008394874
596	0.600791721
597	0.6007045157
598	0.6006546797
599	0.6006455604
600	0.6004722115
601	0.6004233675
602	0.6003984187
603	0.6003365482
604	0.6002294355
605	0.6001805835
606	0.6000983434
607	0.6000219693
608	0.5999849789
609	0.5999290098
610	0.5998924954
611	0.5998314457
612	0.5997442924
613	0.5996958804
614	0.5995936559
615	0.5995386421
616	0.599506378
617	0.5994741891
618	0.5993683258
619	0.5993446662
620	0.5992714638
621	0.5992169764
622	0.599146089
623	0.5990738569
624	0.598963276
625	0.5989183975
626	0.5988183313
627	0.5987895398
628	0.5987461919
629	0.5986742837
630	0.5986205086
631	0.5985595486
632	0.5985404153
633	0.5984732442
634	0.5983911834
635	0.5983007404
636	0.5982920245
637	0.598151593
638	0.5980261697
639	0.5980146934
640	0.5979216928
641	0.5978188766
642	0.5977111895
643	0.5976799281
644	0.5976026196
645	0.5975745557
646	0.5974860655
647	0.5974469022
648	0.5973362231
649	0.5972691324
650	0.5972389777
651	0.5972200686
652	0.5971864849
653	0.5971432544
654	0.5970968439
655	0.5970355939
656	0.5969863801
657	0.5969283736
658	0.5969056851
659	0.5968905064
660	0.5968493753
661	0.5967670946
662	0.5967269145
663	0.596676889
664	0.5966512381
665	0.5966178786
666	0.5965844823
667	0.5964520782
668	0.5964063366
669	0.5963687815
670	0.5962769808
671	0.5962543862
672	0.5962213835
673	0.5962043785
674	0.5961063113
675	0.596088591
676	0.5960614916
677	0.5959809219
678	0.5958739014
679	0.5958057849
680	0.5957894021
681	0.5957383876
682	0.5956920773
683	0.5955734558
684	0.5954910954
685	0.5954401371
686	0.5953304035
687	0.5952773123
688	0.5952489372
689	0.5951875839
690	0.5951224269
691	0.5950570155
692	0.5950034283
693	0.5949265486
694	0.5948799718
695	0.5948326763
696	0.5947839029
697	0.5947470792
698	0.5947314691
699	0.5947006211
700	0.594697083
701	0.5946518268
702	0.594588932
703	0.594539721
704	0.5944466563
705	0.5943908795
706	0.5943425607
707	0.5943007908
708	0.5942284701
709	0.5941411917
710	0.5940756352
711	0.5940236833
712	0.5939636759
713	0.5939059519
714	0.5938671947
715	0.5938366308
716	0.5937658767
717	0.5936967699
718	0.5936063336
719	0.5935855974
720	0.593501343
721	0.593488708
722	0.5934035114
723	0.5933823269
724	0.5933537483
725	0.5932977059
726	0.5932680326
727	0.5931865255
728	0.5931628205
729	0.5931269269
730	0.5930731592
731	0.593007096
732	0.5929310908
733	0.5928865977
734	0.5928209368
735	0.5927334664
736	0.5926271953
737	0.5925724198
738	0.5925083929
739	0.5924934236
740	0.5924603015
741	0.5923859095
742	0.5922532944
743	0.5922138458
744	0.5921662152
745	0.5921213921
746	0.5920884395
747	0.5920306436
748	0.591965813
749	0.5919059168
750	0.5918235608
751	0.5917597338
752	0.5916599309
753	0.5916269641
754	0.5916132875
755	0.5915590486
756	0.5915212861
757	0.5915052648
758	0.5914654576
759	0.5914261098
760	0.5913804163
761	0.5913700023
762	0.5913540769
763	0.5913179074
764	0.5912654164
765	0.5911928275
766	0.5911522591
767	0.5911068455
768	0.5910510077
769	0.5910263363
770	0.5910104806
771	0.5909437637
772	0.5909118257
773	0.5908773482
774	0.5908570447
775	0.59082997
776	0.5907680168
777	0.5907392562
778	0.5907170941
779	0.5906729151
780	0.5905699489
781	0.5904945549
782	0.5903583817
783	0.5902853464
784	0.5902534139
785	0.5901461671
786	0.5900817717
787	0.5900542265
788	0.5899525881
789	0.5898510621
790	0.5898172067
791	0.5896928575
792	0.5896559114
793	0.5895673464
794	0.589536352
795	0.5894816639
796	0.589413902
797	0.5892959938
798	0.5892625023
799	0.589192844
800	0.5890966473
801	0.5890270193
802	0.5889773316
803	0.5889406408
804	0.5888576349
805	0.5888222634
806	0.5887569282
807	0.5886856665
808	0.5886286326
809	0.5885659982
810	0.5885090309
811	0.5883917122
812	0.5883880899
813	0.5883419514
814	0.5882775093
815	0.5882062846
816	0.5881616999
817	0.5881568646
818	0.5880995041
819	0.5880574198
820	0.588018947
821	0.5879544945
822	0.5879036409
823	0.5878742125
824	0.5878073219
825	0.5877262219
826	0.5877003623
827	0.5876270358
828	0.5876213416
829	0.587532472
830	0.5874722056
831	0.587403035
832	0.5873703573
833	0.5873482729
834	0.5872954045
835	0.5872525198
836	0.5872045365
837	0.587111458
838	0.5869833576
839	0.586937765
840	0.5868345433
841	0.586797959
842	0.5867151009
843	0.5866273643
844	0.5866265048
845	0.5866124999
846	0.5865588655
847	0.5864701488
848	0.5864455496
849	0.5863179551
850	0.586279932
851	0.5862489864
852	0.5861636779
853	0.5861455057
854	0.5860971643
855	0.5860392707
856	0.586012193
857	0.5859272779
858	0.5859088727
859	0.5858903037
860	0.5858245378
861	0.5857664277
862	0.5857388669
863	0.5857186912
864	0.5856661654
865	0.5856363314
866	0.5855967875
867	0.5855216528
868	0.5854314093
869	0.5853919133
870	0.5853402972
871	0.5852969571
872	0.5852846473
873	0.5852441467
874	0.5852129783
875	0.5851386468
876	0.5850197403
877	0.5849360963
878	0.5848581208
879	0.5847489675
880	0.5847132538
881	0.5846402465
882	0.5846124327
883	0.5844512516
884	0.584397346
885	0.5843842259
886	0.5843387701
887	0.5842810255
888	0.584257725
889	0.5842010994
890	0.5841491715
891	0.5840656604
892	0.5839834856
893	0.5838884468
894	0.583853669
895	0.5838218218
896	0.5837476144
897	0.5836472881
898	0.5836023566
899	0.5835914877
900	0.5835087404
901	0.5834673049
902	0.5834310899
903	0.5833847636
904	0.5833401349
905	0.5833014103
906	0.5832642414
907	0.5831553322
908	0.5831284677
909	0.583079387
910	0.5829978586
911	0.5829736221
912	0.5829241151
913	0.5828810999
914	0.5828658938
915	0.5827922461
916	0.582736515
917	0.5826867673
918	0.5826096419
919	0.5825553649
920	0.5825222478
921	0.5824798105
922	0.5824211308
923	0.5823937389
924	0.5823734452
925	0.5822841495
926	0.5822613376
927	0.5821905991
928	0.5821348516
929	0.5820673866
930	0.5820308617
931	0.5819830689
932	0.5819594678
933	0.5819292926
934	0.5818601092
935	0.5817374706
936	0.5816965484
937	0.5816580199
938	0.5816430283
939	0.5816181591
940	0.5815528898
941	0.5814923241
942	0.5814159766
943	0.5813772354
944	0.5813486051
945	0.5813274097
946	0.581305737
947	0.5812658801
948	0.5812250071
949	0.5811876539
950	0.581165843
951	0.5810682087
952	0.5810034411
953	0.5809528951
954	0.5809218894
955	0.5808741954
956	0.580783361
957	0.5807460012
958	0.580597867
959	0.5805115417
960	0.5804357423
961	0.5803970346
962	0.5803590256
963	0.5803382767
964	0.5803020545
965	0.5802758392
966	0.5802223
967	0.5801880964
968	0.5800947234
969	0.5800826241
970	0.580068505
971	0.5800099776
972	0.5799543941
973	0.5799042858
974	0.5798781115
975	0.5798459201
976	0.579814181
977	0.5797904819
978	0.5797639005
979	0.5796959347
980	0.5796487182
981	0.5795980059
982	0.5795567299
983	0.5794838413
984	0.5794305329
985	0.5793467262
986	0.5792956419
987	0.5792776148
988	0.579255977
989	0.5792057789
990	0.5791659612
991	0.5791181176
992	0.5790842562
993	0.5789545156
994	0.5788549968
995	0.5788112702
996	0.5787286056
997	0.5787058484
998	0.5786367714
999	0.5786048838
